Berichtszeitpunkt,_RS,Name,Regionalebene,BERUFABS_AUSF_STP,BERUFABS_AUSF_STP__M,BERUFABS_AUSF_STP__W,BERUFABS_AUSF_STP__1,BERUFABS_AUSF_STP__1_M,BERUFABS_AUSF_STP__1_W,BERUFABS_AUSF_STP__11,BERUFABS_AUSF_STP__11_M,BERUFABS_AUSF_STP__11_W,BERUFABS_AUSF_STP__12,BERUFABS_AUSF_STP__12_M,BERUFABS_AUSF_STP__12_W,BERUFABS_AUSF_STP__13,BERUFABS_AUSF_STP__13_M,BERUFABS_AUSF_STP__13_W,BERUFABS_AUSF_STP__14,BERUFABS_AUSF_STP__14_M,BERUFABS_AUSF_STP__14_W,BERUFABS_AUSF_STP__15,BERUFABS_AUSF_STP__15_M,BERUFABS_AUSF_STP__15_W,BERUFABS_AUSF_STP__16,BERUFABS_AUSF_STP__16_M,BERUFABS_AUSF_STP__16_W,BERUFABS_AUSF_STP__17,BERUFABS_AUSF_STP__17_M,BERUFABS_AUSF_STP__17_W,BERUFABS_AUSF_STP__2,BERUFABS_AUSF_STP__2_M,BERUFABS_AUSF_STP__2_W,geo_id
20220515,130755554,Jarmen-Tutow,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130755554
20220515,130755555,Landhagen,Gemeindeverband,8950,4460,4490,7480,3750,3730,3430,1750,1680,870,430,440,890,400,490,/,/,/,/,/,/,1540,780,760,390,220,/,1470,710,760,130755555
20220515,130755556,Löcknitz-Penkun,Gemeindeverband,8900,4390,4520,7450,3750,3700,5190,2730,2460,730,310,420,300,/,230,230,/,/,/,/,/,880,460,430,/,/,/,1450,640,820,130755556
20220515,130755557,Lubmin,Gemeindeverband,9100,4570,4520,8060,4030,4030,4860,2720,2140,1070,370,700,710,240,470,/,/,/,/,/,/,1060,490,580,/,/,/,1030,540,490,130755557
20220515,130755558,Peenetal/Loitz,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130755558
20220515,130755559,Torgelow-Ferdinandshof,Gemeindeverband,11780,5720,6050,9920,4880,5040,7590,3930,3660,740,350,390,560,/,440,/,/,/,/,/,/,880,430,450,/,/,/,1860,840,1010,130755559
20220515,130755560,Uecker-Randow-Tal,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130755560
20220515,130755561,Usedom-Nord,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130755561
20220515,130755562,Usedom-Süd,Gemeindeverband,9520,4720,4790,7340,3680,3660,4870,2470,2410,650,250,400,710,330,380,/,/,/,/,/,/,790,430,360,/,/,/,2180,1050,1130,130755562
20220515,130755563,Züssow,Gemeindeverband,9650,4780,4870,8160,4130,4030,5310,2790,2530,1000,440,560,910,460,460,/,/,/,/,/,/,650,260,390,/,/,/,1500,660,840,130755563
20220515,130760014014,"Boizenburg/ Elbe, Stadt",Gemeinde,9430,4720,4710,6820,3540,3280,4430,2380,2040,730,290,440,670,300,370,230,/,/,/,/,/,590,380,/,/,/,/,2620,1180,1430,13076014
20220515,130760060060,"Hagenow, Stadt",Gemeinde,9860,4830,5030,6500,3180,3320,3950,1980,1970,820,350,480,740,350,390,/,/,/,/,/,/,650,340,310,/,/,/,3360,1650,1710,13076060
20220515,130760088088,"Lübtheen, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13076088
