Berichtszeitpunkt,_RS,Name,Regionalebene,ET_WIRTSZWG_STP,ET_WIRTSZWG_STP__M,ET_WIRTSZWG_STP__W,ET_WIRTSZWG_STP__1,ET_WIRTSZWG_STP__1_M,ET_WIRTSZWG_STP__1_W,ET_WIRTSZWG_STP__2,ET_WIRTSZWG_STP__2_M,ET_WIRTSZWG_STP__2_W,ET_WIRTSZWG_STP__21,ET_WIRTSZWG_STP__21_M,ET_WIRTSZWG_STP__21_W,ET_WIRTSZWG_STP__22,ET_WIRTSZWG_STP__22_M,ET_WIRTSZWG_STP__22_W,ET_WIRTSZWG_STP__23,ET_WIRTSZWG_STP__23_M,ET_WIRTSZWG_STP__23_W,ET_WIRTSZWG_STP__3,ET_WIRTSZWG_STP__3_M,ET_WIRTSZWG_STP__3_W,ET_WIRTSZWG_STP__31,ET_WIRTSZWG_STP__31_M,ET_WIRTSZWG_STP__31_W,ET_WIRTSZWG_STP__32,ET_WIRTSZWG_STP__32_M,ET_WIRTSZWG_STP__32_W,ET_WIRTSZWG_STP__33,ET_WIRTSZWG_STP__33_M,ET_WIRTSZWG_STP__33_W,ET_WIRTSZWG_STP__34,ET_WIRTSZWG_STP__34_M,ET_WIRTSZWG_STP__34_W,ET_WIRTSZWG_STP__35,ET_WIRTSZWG_STP__35_M,ET_WIRTSZWG_STP__35_W,ET_WIRTSZWG_STP__36,ET_WIRTSZWG_STP__36_M,ET_WIRTSZWG_STP__36_W,geo_id
20220515,130745459,Schönberger Land,Gemeindeverband,9550,4740,4810,/,/,/,2250,1680,570,1400,950,450,/,/,/,690,610,/,7110,2910,4200,1490,510,980,810,640,/,/,/,/,470,240,220,890,490,400,3240,910,2330,130745459
20220515,130750005005,"Anklam, Hansestadt",Gemeinde,4560,2280,2280,/,/,/,860,680,/,340,230,/,/,/,/,420,370,/,3570,1480,2090,720,/,530,410,330,/,/,/,/,370,/,/,560,250,310,1400,480,930,13075005
20220515,130750039039,"Greifswald, Universitäts- und Hansestadt",Gemeinde,25420,12890,12530,/,/,/,4100,3290,810,2050,1620,430,720,560,/,1320,1100,220,21150,9470,11680,3260,1350,1910,2180,1420,760,430,260,/,2350,1300,1050,1970,970,1000,10950,4170,6780,13075039
20220515,130750049049,"Heringsdorf, Ostseebad",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13075049
20220515,130750105105,"Pasewalk, Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13075105
20220515,130750130130,"Strasburg (Uckermark), Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13075130
20220515,130750136136,"Ueckermünde, Seebad , Stadt",Gemeinde,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,13075136
20220515,130755551,Am Peenestrom,Gemeindeverband,5700,3010,2690,240,/,/,1300,1110,/,470,380,/,/,/,/,720,630,/,4150,1710,2440,1200,450,750,460,340,/,/,/,/,450,270,/,370,/,/,1540,410,1130,130755551
20220515,130755552,Am Stettiner Haff,Gemeindeverband,4390,2360,2030,/,/,/,1210,950,250,680,470,/,/,/,/,430,410,/,3110,1350,1760,720,270,450,230,/,/,/,/,/,340,/,/,480,320,/,1260,360,910,130755552
20220515,130755553,Anklam-Land,Gemeindeverband,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,130755553
