key,level,name,party,vote_type,votes,valid_votes,share_percent,reported_precincts,total_precincts
lsa:GEMEINDE:15081545,GEMEINDE,Wallstawe,Die Linke,Zweitstimmen,38,565,6.725663716814159,3,3
lsa:GEMEINDE:15081545,GEMEINDE,Wallstawe,Die Linke,Erststimmen,55,565,9.734513274336283,3,3
lsa:GEMEINDE:15081545,GEMEINDE,Wallstawe,BSW,Zweitstimmen,23,565,4.070796460176991,3,3
lsa:GEMEINDE:15081545,GEMEINDE,Wallstawe,BSW,Erststimmen,23,565,4.070796460176991,3,3
lsa:GEMEINDE:15082005,GEMEINDE,"Aken (Elbe), Stadt",AfD,Zweitstimmen,2181,4635,47.055016181229774,10,10
lsa:GEMEINDE:15082005,GEMEINDE,"Aken (Elbe), Stadt",AfD,Erststimmen,2273,4613,49.27379145892044,10,10
lsa:GEMEINDE:15082005,GEMEINDE,"Aken (Elbe), Stadt",CDU,Zweitstimmen,836,4635,18.036677454153182,10,10
lsa:GEMEINDE:15082005,GEMEINDE,"Aken (Elbe), Stadt",CDU,Erststimmen,1044,4613,22.631693041404727,10,10
lsa:GEMEINDE:15082005,GEMEINDE,"Aken (Elbe), Stadt",SPD,Zweitstimmen,357,4635,7.702265372168285,10,10
lsa:GEMEINDE:15082005,GEMEINDE,"Aken (Elbe), Stadt",SPD,Erststimmen,294,4613,6.373292867981791,10,10
lsa:GEMEINDE:15082005,GEMEINDE,"Aken (Elbe), Stadt",GRÜNE,Zweitstimmen,247,4635,5.329018338727076,10,10
lsa:GEMEINDE:15082005,GEMEINDE,"Aken (Elbe), Stadt",GRÜNE,Erststimmen,108,4613,2.341209624972903,10,10
lsa:GEMEINDE:15082005,GEMEINDE,"Aken (Elbe), Stadt",Die Linke,Zweitstimmen,372,4635,8.025889967637541,10,10
lsa:GEMEINDE:15082005,GEMEINDE,"Aken (Elbe), Stadt",Die Linke,Erststimmen,478,4613,10.362020377194884,10,10
lsa:GEMEINDE:15082005,GEMEINDE,"Aken (Elbe), Stadt",BSW,Zweitstimmen,262,4635,5.652642934196332,10,10
lsa:GEMEINDE:15082005,GEMEINDE,"Aken (Elbe), Stadt",BSW,Erststimmen,,4613,,10,10
lsa:GEMEINDE:15082015,GEMEINDE,"Bitterfeld-Wolfen, Stadt",AfD,Zweitstimmen,10517,21421,49.09668082722562,31,31
lsa:GEMEINDE:15082015,GEMEINDE,"Bitterfeld-Wolfen, Stadt",AfD,Erststimmen,11013,21389,51.489083173593905,31,31
lsa:GEMEINDE:15082015,GEMEINDE,"Bitterfeld-Wolfen, Stadt",CDU,Zweitstimmen,3589,21421,16.75458662060595,31,31
