event_time_utc,source,ags,municipality_name,event_type,details_json
2026-03-08T17:50:18.340537+00:00,kommone,08435052,Salem,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.340518+00:00,kommone,08435047,Owingen,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.340463+00:00,kommone,08435034,"Markdorf, Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.340400+00:00,kommone,08435016,"Friedrichshafen, Stadt",RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.340330+00:00,kommone,08426128,Warthausen,RESULT_UPDATED,"{""current_hash"": ""d95478ebc7a9b53d76804c730cf90af07b8704c7cddd4efd5c1da8062f3da277"", ""previous_hash"": ""33b1c593ef1e7a1a1aa8b00e4cfe853632ea3e369151f4b00d26d8df99fb90ed""}"
2026-03-08T17:50:18.340289+00:00,kommone,08426124,Uttenweiler,RESULT_UPDATED,"{""current_hash"": ""ee6c4b1fc97a1b199092856108e38e94e57229319ccac9c8e96de1e894ec8aa5"", ""previous_hash"": ""3a843741203c6e3195d404558529465f95ecd55209beefa0c4b5786de16effb6""}"
2026-03-08T17:50:18.340269+00:00,kommone,08426121,Unlingen,RESULT_UPDATED,"{""current_hash"": ""b0b2802f1bf7dc977e7308a7b622c681ab7ea70b87aee657211f8d46ed3a50d3"", ""previous_hash"": ""58e4eebeb558ded7bb1b1697d3c08932fe0fc0613c69b0ac898490876be72d95""}"
2026-03-08T17:50:18.340198+00:00,kommone,08426108,Schwendi,RESULT_UPDATED,"{""current_hash"": ""0891fb6c60733db1bb33015100b5ebdd1ff7584aba84ab294877bd31ab0a18f7"", ""previous_hash"": ""d68eb3ccdca61eb3070d7b46ff8e64f538569cc1992b428279262dd974f83f0f""}"
2026-03-08T17:50:18.340170+00:00,kommone,08426097,"Riedlingen, Stadt",RESULT_UPDATED,"{""current_hash"": ""b90ebf122e40cc9daaf794422e1b36a8fba01093ad2d63a68455c400b48de2d0"", ""previous_hash"": ""b3225c0dbe24c0a30a1a7a3078ed756cb6b47d86a49014d4b8131b753a6890ca""}"
2026-03-08T17:50:18.340133+00:00,kommone,08426078,Moosburg,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.340080+00:00,kommone,08426067,Langenenslingen,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.340014+00:00,kommone,08426045,Ertingen,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.339964+00:00,kommone,08426035,Dürmentingen,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.339937+00:00,kommone,08426028,Burgrieden,RESULT_ADDED,"{""reported_precincts"": null, ""total_precincts"": null}"
2026-03-08T17:50:18.339868+00:00,kommone,08426008,Altheim,RESULT_UPDATED,"{""current_hash"": ""24469ace159349c9394dc8c6f93d6141882bce47ac4789c226d84e8d9509c2fd"", ""previous_hash"": ""5b1c690306b9673cf6477b635a41e076d5ccad8e93929daa408a2394e9739023""}"
