poll_id,ags,municipality_name,metric,kommone_value,statla_value,delta
2,08117029,Hattenhofen,valid_votes,1774,1780,-6.0
2,08117030,Heiningen,reported_precincts,,6,
2,08117030,Heiningen,total_precincts,,6,
2,08117030,Heiningen,voters_total,2780,2780,0.0
2,08117030,Heiningen,valid_votes,2759,2771,-12.0
2,08117031,Hohenstadt,reported_precincts,,0,
2,08117031,Hohenstadt,total_precincts,,2,
2,08117031,Hohenstadt,voters_total,0,0,0.0
2,08117031,Hohenstadt,valid_votes,0,0,0.0
2,08117033,Kuchen,reported_precincts,,5,
2,08117033,Kuchen,total_precincts,,5,
2,08117033,Kuchen,voters_total,2649,2649,0.0
2,08117033,Kuchen,valid_votes,2623,2635,-12.0
2,08117035,Mühlhausen im Täle,reported_precincts,,2,
2,08117035,Mühlhausen im Täle,total_precincts,,2,
2,08117035,Mühlhausen im Täle,voters_total,746,595,151.0
2,08117035,Mühlhausen im Täle,valid_votes,995,592,403.0
2,08117037,Ottenbach,reported_precincts,,1,
2,08117037,Ottenbach,total_precincts,,2,
2,08117037,Ottenbach,voters_total,434,434,0.0
2,08117037,Ottenbach,valid_votes,998,433,565.0
2,08117038,Rechberghausen,reported_precincts,,4,
2,08117038,Rechberghausen,total_precincts,,4,
2,08117038,Rechberghausen,voters_total,3004,3004,0.0
2,08117038,Rechberghausen,valid_votes,2964,2978,-14.0
2,08117042,Salach,reported_precincts,,9,
2,08117042,Salach,total_precincts,,9,
2,08117042,Salach,voters_total,3701,3701,0.0
2,08117042,Salach,valid_votes,3658,3671,-13.0
2,08117043,Schlat,reported_precincts,,0,
2,08117043,Schlat,total_precincts,,2,
2,08117043,Schlat,voters_total,0,0,0.0
2,08117043,Schlat,valid_votes,0,0,0.0
2,08117044,Schlierbach,reported_precincts,,4,
2,08117044,Schlierbach,total_precincts,,4,
2,08117044,Schlierbach,voters_total,2189,2189,0.0
2,08117044,Schlierbach,valid_votes,2174,2182,-8.0
2,08117049,"Süßen, Stadt",reported_precincts,,7,
2,08117049,"Süßen, Stadt",total_precincts,,7,
2,08117049,"Süßen, Stadt",voters_total,4735,4735,0.0
2,08117049,"Süßen, Stadt",valid_votes,4685,4700,-15.0
2,08117051,"Uhingen, Stadt",reported_precincts,,17,
2,08117051,"Uhingen, Stadt",total_precincts,,17,
2,08117051,"Uhingen, Stadt",voters_total,6927,6927,0.0
2,08117051,"Uhingen, Stadt",valid_votes,6844,6877,-33.0
2,08117053,Wäschenbeuren,reported_precincts,,3,
2,08117053,Wäschenbeuren,total_precincts,,3,
2,08117053,Wäschenbeuren,voters_total,2464,2464,0.0
2,08117053,Wäschenbeuren,valid_votes,2431,2439,-8.0
2,08117055,Wangen,reported_precincts,,4,
2,08117055,Wangen,total_precincts,,5,
2,08117055,Wangen,voters_total,1260,1260,0.0
2,08117055,Wangen,valid_votes,1253,1256,-3.0
2,08117058,"Wiesensteig, Stadt",reported_precincts,,2,
2,08117058,"Wiesensteig, Stadt",total_precincts,,2,
2,08117058,"Wiesensteig, Stadt",voters_total,1055,1055,0.0
2,08117058,"Wiesensteig, Stadt",valid_votes,1038,1042,-4.0
2,08117060,Zell unter Aichelberg,reported_precincts,,0,
2,08117060,Zell unter Aichelberg,total_precincts,,2,
2,08117060,Zell unter Aichelberg,voters_total,0,0,0.0
2,08117060,Zell unter Aichelberg,valid_votes,0,0,0.0
2,08117061,"Lauterstein, Stadt",reported_precincts,,3,
2,08117061,"Lauterstein, Stadt",total_precincts,,3,
2,08117061,"Lauterstein, Stadt",voters_total,1458,1458,0.0
2,08117061,"Lauterstein, Stadt",valid_votes,1445,1452,-7.0
2,08118001,Affalterbach,reported_precincts,,5,
2,08118001,Affalterbach,total_precincts,,5,
2,08118001,Affalterbach,voters_total,2536,2536,0.0
2,08118001,Affalterbach,valid_votes,2521,2528,-7.0
2,08118003,"Asperg, Stadt",reported_precincts,,10,
2,08118003,"Asperg, Stadt",total_precincts,,12,
2,08118003,"Asperg, Stadt",voters_total,5379,5379,0.0
2,08118003,"Asperg, Stadt",valid_votes,5346,5362,-16.0
2,08118006,Benningen am Neckar,reported_precincts,,7,
2,08118006,Benningen am Neckar,total_precincts,,7,
2,08118006,Benningen am Neckar,voters_total,3451,3451,0.0
2,08118006,Benningen am Neckar,valid_votes,3427,3437,-10.0
2,08118007,"Besigheim, Stadt",reported_precincts,,9,
2,08118007,"Besigheim, Stadt",total_precincts,,10,
2,08118007,"Besigheim, Stadt",voters_total,5864,5864,0.0
2,08118007,"Besigheim, Stadt",valid_votes,5826,5831,-5.0
2,08118010,"Bönnigheim, Stadt",reported_precincts,,7,
2,08118010,"Bönnigheim, Stadt",total_precincts,,8,
2,08118010,"Bönnigheim, Stadt",voters_total,3494,3494,0.0
2,08118010,"Bönnigheim, Stadt",valid_votes,3463,3475,-12.0
2,08118011,"Ditzingen, Stadt",reported_precincts,,18,
2,08118011,"Ditzingen, Stadt",total_precincts,,19,
2,08118011,"Ditzingen, Stadt",voters_total,12029,11076,953.0
2,08118011,"Ditzingen, Stadt",valid_votes,11919,11026,893.0
2,08118012,Eberdingen,reported_precincts,,3,
2,08118012,Eberdingen,total_precincts,,8,
2,08118012,Eberdingen,voters_total,1176,1176,0.0
2,08118012,Eberdingen,valid_votes,1165,1171,-6.0
2,08118014,Erdmannhausen,reported_precincts,,6,
2,08118014,Erdmannhausen,total_precincts,,6,
2,08118014,Erdmannhausen,voters_total,2879,2879,0.0
2,08118014,Erdmannhausen,valid_votes,2861,2871,-10.0
2,08118015,Erligheim,reported_precincts,,3,
2,08118015,Erligheim,total_precincts,,3,
2,08118015,Erligheim,voters_total,1715,1715,0.0
2,08118015,Erligheim,valid_votes,1700,1702,-2.0
2,08118016,Freudental,reported_precincts,,4,
2,08118016,Freudental,total_precincts,,4,
2,08118016,Freudental,voters_total,1468,1468,0.0
2,08118016,Freudental,valid_votes,1457,1462,-5.0
2,08118018,Gemmrigheim,reported_precincts,,3,
2,08118018,Gemmrigheim,total_precincts,,3,
2,08118018,Gemmrigheim,voters_total,2196,2196,0.0
2,08118018,Gemmrigheim,valid_votes,2181,2187,-6.0
2,08118019,"Gerlingen, Stadt",reported_precincts,,18,
2,08118019,"Gerlingen, Stadt",total_precincts,,19,
2,08118019,"Gerlingen, Stadt",voters_total,9767,9767,0.0
2,08118019,"Gerlingen, Stadt",valid_votes,9685,9726,-41.0
