level,identifier,name,ags,wahlkreisnummer,old_reported_precincts,new_reported_precincts,delta_reported_precincts,old_total_precincts,new_total_precincts,delta_total_precincts,old_voters_total,new_voters_total,delta_voters_total,old_valid_votes_erst,new_valid_votes_erst,delta_valid_votes_erst,old_valid_votes_zweit,new_valid_votes_zweit,delta_valid_votes_zweit
GEMEINDE,08117024,"Geislingen an der Steige, Stadt",08117024,,26,26,0,26,26,0,9563,9563,0,9450,9452,2,9493,9493,0
GEMEINDE,08117026,"Göppingen, Stadt",08117026,,65,65,0,65,65,0,23131,23131,0,22909,22910,1,23009,23009,0
GEMEINDE,08117028,Gruibingen,08117028,,2,2,0,2,2,0,1225,1225,0,1211,1213,2,1216,1217,1
GEMEINDE,08117029,Hattenhofen,08117029,,3,3,0,3,3,0,1790,1783,-7,1774,1774,0,1780,1780,0
GEMEINDE,08118040,Kirchheim am Neckar,08118040,,4,4,0,4,4,0,2512,2513,1,2486,2487,1,2492,2493,1
GEMEINDE,08118046,"Kornwestheim, Stadt",08118046,,32,32,0,32,32,0,14163,14163,0,14038,14038,0,14084,14083,-1
GEMEINDE,08118070,"Steinheim an der Murr, Stadt",08118070,,10,10,0,10,10,0,6372,6372,0,6318,6318,0,6335,6334,-1
GEMEINDE,08118073,"Vaihingen an der Enz, Stadt",08118073,,32,32,0,32,32,0,15203,15203,0,15075,15075,0,15141,15142,1
GEMEINDE,08118079,"Bietigheim-Bissingen, Stadt",08118079,,47,47,0,47,47,0,19802,19802,0,19614,19617,3,19692,19692,0
GEMEINDE,08118080,"Korntal-Münchingen, Stadt",08118080,,24,24,0,24,24,0,10018,10018,0,9930,9929,-1,9976,9975,-1
GEMEINDE,08119006,Auenwald,08119006,,5,5,0,5,5,0,3937,3929,-8,3900,3900,0,3914,3914,0
GEMEINDE,08119008,"Backnang, Stadt",08119008,,37,37,0,37,37,0,16504,16500,-4,16367,16360,-7,16416,16417,1
GEMEINDE,08119018,Burgstetten,08119018,,4,4,0,4,4,0,2080,2080,0,2061,2062,1,2066,2066,0
GEMEINDE,08119020,"Fellbach, Stadt",08119020,,43,43,0,43,43,0,20347,20347,0,20205,20206,1,20248,20249,1
GEMEINDE,08119055,Plüderhausen,08119055,,10,10,0,10,10,0,4909,4901,-8,4865,4865,0,4876,4877,1
GEMEINDE,08119067,"Schorndorf, Stadt",08119067,,41,41,0,41,41,0,20390,20390,0,20249,20251,2,20273,20274,1
GEMEINDE,08119079,"Waiblingen, Stadt",08119079,,45,45,0,45,45,0,24488,24475,-13,24269,24269,0,24344,24344,0
GEMEINDE,08119085,"Winnenden, Stadt",08119085,,29,29,0,29,29,0,12937,12918,-19,12819,12819,0,12855,12855,0
GEMEINDE,08119091,"Weinstadt, Stadt",08119091,,27,27,0,27,27,0,14614,14596,-18,14495,14495,0,14515,14515,0
GEMEINDE,08121000,"Heilbronn, Universitätsstadt",08121000,,112,112,0,112,112,0,45566,45549,-17,45169,45169,0,45251,45253,2
GEMEINDE,08125001,Abstatt,08125001,,6,6,0,6,6,0,2690,2690,0,2667,2667,0,2676,2677,1
GEMEINDE,08125008,"Beilstein, Stadt",08125008,,8,8,0,8,8,0,3477,3477,0,3440,3441,1,3458,3458,0
GEMEINDE,08125017,Cleebronn,08125017,,3,3,0,3,3,0,1461,1461,0,1447,1448,1,1455,1455,0
GEMEINDE,08125026,"Eppingen, Stadt",08125026,,13,13,0,13,13,0,10915,10915,0,10818,10819,1,10826,10826,0
GEMEINDE,08125056,"Lauffen am Neckar, Stadt",08125056,,12,12,0,12,12,0,5611,5612,1,5569,5570,1,5583,5583,0
GEMEINDE,08126046,"Künzelsau, Stadt",08126046,,15,15,0,15,15,0,7130,7130,0,7090,7095,5,7090,7090,0
GEMEINDE,08126066,"Öhringen, Stadt",08126066,,21,21,0,21,21,0,11573,11573,0,11489,11491,2,11501,11502,1
GEMEINDE,08126069,Pfedelbach,08126069,,11,11,0,11,11,0,5035,5035,0,4988,4988,0,4995,4996,1
GEMEINDE,08127025,"Gaildorf, Stadt",08127025,,10,10,0,10,10,0,5218,5218,0,5170,5170,0,5182,5183,1
GEMEINDE,08127079,Sulzbach-Laufen,08127079,,3,3,0,3,3,0,1416,1426,10,1397,1407,10,1396,1409,13
GEMEINDE,08127104,Stimpfach,08127104,,4,4,0,4,4,0,1683,1683,0,1673,1674,1,1671,1671,0
GEMEINDE,08128006,Assamstadt,08128006,,2,2,0,2,2,0,1378,1378,0,1360,1361,1,1360,1360,0
GEMEINDE,08128007,"Bad Mergentheim, Stadt",08128007,,27,27,0,27,27,0,11353,11353,0,11209,11214,5,11255,11259,4
GEMEINDE,08128047,"Grünsfeld, Stadt",08128047,,7,7,0,7,7,0,2169,2173,4,2149,2149,0,2159,2159,0
GEMEINDE,08128058,Igersheim,08128058,,7,7,0,7,7,0,3105,3111,6,3060,3060,0,3073,3073,0
GEMEINDE,08128061,Königheim,08128061,,6,6,0,6,6,0,1912,1912,0,1890,1891,1,1897,1897,0
GEMEINDE,08128082,"Niederstetten, Stadt",08128082,,12,12,0,12,12,0,3074,3051,-23,2998,2999,1,3017,3020,3
GEMEINDE,08128115,"Tauberbischofsheim, Stadt",08128115,,18,18,0,18,18,0,6813,6813,0,6708,6709,1,6768,6768,0
GEMEINDE,08128126,"Weikersheim, Stadt",08128126,,11,11,0,11,11,0,4507,4507,0,4449,4451,2,4473,4475,2
GEMEINDE,08128139,"Lauda-Königshofen, Stadt",08128139,,21,21,0,21,21,0,7436,7436,0,7347,7348,1,7390,7390,0
GEMEINDE,08135019,"Heidenheim an der Brenz, Stadt",08135019,,43,43,0,43,43,0,18835,18835,0,18688,18693,5,18726,18726,0
GEMEINDE,08136002,Abtsgmünd,08136002,,8,8,0,8,8,0,4452,4452,0,4407,4408,1,4422,4425,3
GEMEINDE,08136021,Essingen,08136021,,8,8,0,8,8,0,3843,3843,0,3799,3801,2,3820,3820,0
GEMEINDE,08136033,Hüttlingen,08136033,,4,4,0,4,4,0,3653,3653,0,3615,3615,0,3629,3631,2
GEMEINDE,08136037,Kirchheim am Ries,08136037,,4,4,0,4,4,0,1050,1050,0,1037,1039,2,1038,1038,0
GEMEINDE,08136089,Rainau,08136089,,4,4,0,4,4,0,2047,2047,0,2030,2030,0,2036,2034,-2
GEMEINDE,08211000,"Baden-Baden, Stadt",08211000,,60,60,0,60,60,0,23666,23666,0,23371,23373,2,23461,23462,1
GEMEINDE,08215046,Malsch,08215046,,18,18,0,18,18,0,7875,7875,0,7767,7766,-1,7829,7829,0
GEMEINDE,08215059,"Oberderdingen, Stadt",08215059,,14,14,0,14,14,0,5500,5500,0,5408,5408,0,5458,5459,1
GEMEINDE,08215084,Ubstadt-Weiher,08215084,,14,14,0,14,14,0,7375,7375,0,7300,7299,-1,7332,7332,0
GEMEINDE,08215097,"Kraichtal, Stadt",08215097,,12,12,0,12,12,0,7807,7807,0,7728,7729,1,7769,7771,2
GEMEINDE,08215106,"Waghäusel, Stadt",08215106,,21,21,0,21,21,0,10921,10921,0,10764,10763,-1,10837,10837,0
GEMEINDE,08215107,Oberhausen-Rheinhausen,08215107,,8,8,0,8,8,0,4963,4963,0,4866,4865,-1,4905,4904,-1
GEMEINDE,08215109,"Stutensee, Stadt",08215109,,36,36,0,36,36,0,12799,12800,1,12654,12654,0,12731,12731,0
GEMEINDE,08216015,"Gaggenau, Stadt",08216015,,32,32,0,32,32,0,14076,14076,0,13942,13942,0,13974,13975,1
GEMEINDE,08216017,"Gernsbach, Stadt",08216017,,14,14,0,14,14,0,7035,7035,0,6963,6964,1,6993,6993,0
GEMEINDE,08216039,Ötigheim,08216039,,4,4,0,4,4,0,2806,2806,0,2784,2785,1,2789,2789,0
GEMEINDE,08216049,Sinzheim,08216049,,14,14,0,14,14,0,6012,6012,0,5962,5962,0,5982,5983,1
GEMEINDE,08221000,"Heidelberg, Stadt",08221000,,149,149,0,149,149,0,72563,72550,-13,72117,72116,-1,72322,72331,9
GEMEINDE,08225033,Haßmersheim,08225033,,6,6,0,6,6,0,2474,2474,0,2448,2447,-1,2455,2454,-1
GEMEINDE,08225058,"Mosbach, Stadt",08225058,,20,20,0,20,20,0,10594,10597,3,10502,10506,4,10508,10507,-1
GEMEINDE,08225060,Mudau,08225060,,10,10,0,10,10,0,3071,3071,0,3041,3042,1,3045,3045,0
GEMEINDE,08225091,Seckach,08225091,,5,5,0,5,5,0,2065,2065,0,2048,2047,-1,2051,2051,0
GEMEINDE,08225117,Elztal,08225117,,6,6,0,6,6,0,3309,3310,1,3270,3271,1,3275,3276,1
GEMEINDE,08225118,Waldbrunn,08225118,,7,7,0,7,7,0,2696,2696,0,2666,2667,1,2676,2676,0
GEMEINDE,08226020,Eschelbronn,08226020,,2,2,0,2,2,0,1425,1425,0,1410,1411,1,1416,1416,0
GEMEINDE,08226028,Heddesheim,08226028,,18,18,0,18,18,0,6205,6207,2,6151,6152,1,6169,6169,0
GEMEINDE,08226048,Mauer,08226048,,4,4,0,4,4,0,2399,2399,0,2382,2382,0,2387,2388,1
GEMEINDE,08226049,Meckesheim,08226049,,4,4,0,4,4,0,2869,2869,0,2845,2842,-3,2852,2849,-3
GEMEINDE,08226063,Plankstadt,08226063,,15,15,0,15,15,0,5524,5524,0,5464,5463,-1,5483,5482,-1
GEMEINDE,08226066,Reichartshausen,08226066,,2,2,0,2,2,0,1183,1178,-5,1173,1173,0,1171,1171,0
GEMEINDE,08226085,"Sinsheim, Stadt",08226085,,43,43,0,43,43,0,16776,16776,0,16613,16611,-2,16630,16630,0
GEMEINDE,08226091,"Waibstadt, Stadt",08226091,,5,5,0,5,5,0,2768,2768,0,2744,2744,0,2750,2751,1
