Berichtszeitpunkt,_RS,Name,Reg_Ebene,0_Insgesamt_,HH_SIZE_NAT__1,HH_SIZE_NAT__2,HH_SIZE_NAT__3,HH_SIZE_NAT__4,HH_SIZE_NAT__5,HH_SIZE_NAT__6,HHTYP_FAM__1,HHTYP_FAM__2,HHTYP_FAM__3,HHTYP_FAM__4,HHTYP_FAM__5,HHTYP_LEB__1,HHTYP_LEB__2,HHTYP_LEB__3,HHTYP_LEB__4,HHTYP_LEB__5,HHTYP_LEB__6,HHTYP_LEB__7,HHTYP_SENIOR_HH__1,HHTYP_SENIOR_HH__2,HHTYP_SENIOR_HH__3,geo_id
20220515,130745453,Grevesmühlen-Land,Gemeindeverband,3750,1076,1454,602,432,127,54,1076,1301,1012,287,78,1076,1895,–,410,222,69,78,830,458,2463,130745453
20220515,130745454,Klützer Winkel,Gemeindeverband,5664,2217,2188,653,423,112,69,2217,1960,1002,393,97,2217,2450,4,508,319,72,97,1699,596,3370,130745454
20220515,130745455,Lützow-Lübstorf,Gemeindeverband,6029,1742,2520,893,637,169,65,1742,2244,1500,435,109,1742,3138,3,606,326,106,109,1561,682,3785,130745455
20220515,130745456,Neuburg,Gemeindeverband,2862,925,1057,436,318,83,46,925,906,763,235,35,925,1352,3,320,184,51,35,676,288,1904,130745456
20220515,130745457,Neukloster-Warin,Gemeindeverband,5288,2096,1897,712,410,121,60,2096,1624,1029,451,88,2096,2194,3,458,371,79,88,1396,530,3362,130745457
20220515,130745458,Rehna,Gemeindeverband,4455,1626,1475,682,486,122,56,1626,1299,1129,338,63,1626,1950,4,476,264,72,63,984,436,3034,130745458
20220515,130745459,Schönberger Land,Gemeindeverband,8285,2786,2872,1347,923,241,116,2786,2452,2145,752,155,2786,3816,14,766,591,163,155,1816,784,5689,130745459
20220515,130750005005,"Anklam, Hansestadt",Gemeinde,6723,3428,2225,632,314,83,38,3428,1825,767,594,108,3428,2163,–,427,493,99,108,2331,463,3927,13075005
20220515,130750039039,"Greifswald, Universitäts- und Hansestadt",Gemeinde,33908,19815,8823,2838,1672,492,266,19815,6500,3627,2454,1514,19815,7801,19,2301,1981,477,1514,8067,1414,24420,13075039
20220515,130750049049,"Heringsdorf, Ostseebad",Gemeinde,3685,2038,1140,348,116,36,10,2038,899,402,272,75,2038,1095,3,207,229,45,75,1266,308,2115,13075049
20220515,130750105105,"Pasewalk, Stadt",Gemeinde,5532,2879,1759,543,243,74,32,2879,1421,644,489,94,2879,1760,–,311,412,72,94,1790,359,3383,13075105
20220515,130750130130,"Strasburg (Uckermark), Stadt",Gemeinde,2371,1164,786,241,114,45,23,1164,680,305,189,34,1164,838,–,147,171,20,34,776,215,1379,13075130
20220515,130750136136,"Ueckermünde, Seebad , Stadt",Gemeinde,4579,2132,1591,495,249,78,32,2132,1309,654,408,77,2132,1571,–,384,342,67,77,1498,434,2645,13075136
20220515,130755551,Am Peenestrom,Gemeindeverband,7844,3946,2426,846,441,131,52,3946,1832,1036,763,268,3946,2412,3,450,599,166,268,2370,702,4768,130755551
20220515,130755552,Am Stettiner Haff,Gemeindeverband,5235,1983,2051,673,388,96,43,1983,1793,933,429,96,1983,2282,8,435,340,87,96,1598,626,3009,130755552
20220515,130755553,Anklam-Land,Gemeindeverband,4533,1732,1707,594,341,115,48,1732,1449,842,422,89,1732,1918,3,368,316,108,89,1253,533,2746,130755553
20220515,130755554,Jarmen-Tutow,Gemeindeverband,3205,1325,1061,452,246,77,39,1325,877,623,310,70,1325,1234,3,263,245,68,70,913,360,1932,130755554
20220515,130755555,Landhagen,Gemeindeverband,4658,1230,1871,771,573,161,54,1230,1705,1324,339,55,1230,2551,–,480,262,78,55,1140,468,3051,130755555
20220515,130755556,Löcknitz-Penkun,Gemeindeverband,5008,1909,1721,703,448,153,83,1909,1455,1100,463,86,1909,2163,3,392,360,100,86,1454,588,2967,130755556
20220515,130755557,Lubmin,Gemeindeverband,5107,1694,2073,731,428,140,39,1694,1851,1096,377,90,1694,2505,–,442,280,96,90,1534,637,2938,130755557
20220515,130755558,Peenetal/Loitz,Gemeindeverband,2945,1153,1043,410,248,53,36,1153,891,586,257,58,1153,1217,–,255,217,36,58,794,296,1857,130755558
20220515,130755559,Torgelow-Ferdinandshof,Gemeindeverband,7075,3058,2509,817,460,150,80,3058,2099,1172,633,109,3058,2737,3,535,528,106,109,2111,664,4300,130755559
20220515,130755560,Uecker-Randow-Tal,Gemeindeverband,3240,1135,1223,468,292,81,40,1135,1109,713,240,43,1135,1521,–,300,187,55,43,844,416,1973,130755560
20220515,130755561,Usedom-Nord,Gemeindeverband,4908,2300,1821,483,214,66,27,2300,1626,607,301,80,2300,1894,3,338,246,52,80,1922,421,2565,130755561
20220515,130755562,Usedom-Süd,Gemeindeverband,5657,2427,1922,701,428,120,63,2427,1593,1010,488,146,2427,2133,3,469,379,107,146,1733,723,3201,130755562
20220515,130755563,Züssow,Gemeindeverband,5339,1971,1829,813,475,166,83,1971,1543,1235,493,92,1971,2276,–,506,390,105,92,1331,600,3408,130755563
20220515,130760014014,"Boizenburg/ Elbe, Stadt",Gemeinde,5895,2795,1865,686,401,102,44,2795,1527,978,451,138,2795,2010,3,497,350,100,138,1579,407,3909,13076014
20220515,130760060060,"Hagenow, Stadt",Gemeinde,6347,3163,1911,661,395,144,69,3163,1491,961,583,152,3163,1986,–,466,480,101,152,1656,347,4343,13076060
20220515,130760088088,"Lübtheen, Stadt",Gemeinde,2142,838,734,303,153,64,48,838,607,435,170,94,838,870,–,170,137,37,94,574,220,1345,13076088
20220515,130760090090,"Ludwigslust, Stadt",Gemeinde,6083,2788,2067,683,393,90,58,2788,1701,957,502,131,2788,2231,3,430,415,88,131,1901,445,3741,13076090
20220515,130760108108,"Parchim, Stadt",Gemeinde,9370,4531,3066,926,564,174,104,4531,2527,1306,816,189,4531,3217,–,618,678,138,189,3009,595,5766,13076108
20220515,130765652,Boizenburg-Land,Gemeindeverband,3011,992,1097,483,312,85,43,992,935,748,265,72,992,1377,3,305,180,82,72,617,334,2059,130765652
20220515,130765654,Dömitz-Malliß,Gemeindeverband,4144,1577,1550,560,308,91,53,1577,1354,781,362,67,1577,1798,3,332,295,69,67,1213,522,2406,130765654
20220515,130765655,Eldenburg Lübz,Gemeindeverband,5950,2400,2089,830,421,136,68,2400,1804,1161,484,98,2400,2485,–,482,378,104,98,1687,643,3616,130765655
20220515,130765656,Goldberg-Mildenitz,Gemeindeverband,3162,1320,1173,379,204,54,30,1320,1037,512,244,46,1320,1316,7,227,190,54,46,929,366,1868,130765656
20220515,130765657,Grabow,Gemeindeverband,5340,2110,1938,696,401,135,61,2110,1691,1000,444,90,2110,2199,–,497,340,105,90,1570,599,3170,130765657
20220515,130765658,Hagenow-Land,Gemeindeverband,3746,1074,1464,652,379,111,64,1074,1299,993,312,61,1074,1921,–,372,242,73,61,793,477,2472,130765658
20220515,130765659,Ludwigslust-Land,Gemeindeverband,3649,1075,1466,579,374,109,42,1075,1254,912,328,79,1075,1830,–,336,251,75,79,908,456,2286,130765659
20220515,130765660,Neustadt-Glewe,Gemeindeverband,3592,1365,1321,479,257,106,67,1365,1124,706,305,91,1365,1496,–,339,257,50,91,974,361,2260,130765660
20220515,130765662,Parchimer Umland,Gemeindeverband,3651,1105,1444,592,335,117,60,1105,1304,848,311,83,1105,1805,4,342,257,55,83,842,498,2316,130765662
20220515,130765663,Plau am See,Gemeindeverband,4243,1755,1585,524,271,80,28,1755,1362,721,328,75,1755,1721,–,364,280,48,75,1278,447,2518,130765663
20220515,130765664,Sternberger Seenlandschaft,Gemeindeverband,6058,2506,2174,742,435,134,60,2506,1825,1057,550,117,2506,2433,7,443,448,102,117,1808,670,3578,130765664
20220515,130765665,Stralendorf,Gemeindeverband,5223,1372,2313,810,555,114,56,1372,2071,1296,409,75,1372,2795,4,569,322,87,75,1291,574,3351,130765665
20220515,130765666,Wittenburg,Gemeindeverband,4331,1649,1492,603,436,98,48,1649,1274,979,354,69,1649,1797,3,455,281,78,69,966,398,2964,130765666
20220515,130765667,Zarrentin,Gemeindeverband,4729,1735,1592,714,500,131,56,1735,1375,1171,368,89,1735,2048,4,492,289,76,89,1009,464,3259,130765667
20220515,130765668,Crivitz,Gemeindeverband,11392,3617,4582,1667,1115,281,136,3617,4081,2620,930,147,3617,5636,10,1053,724,205,147,3262,1249,6879,130765668
