Berichtszeitpunkt,_RS,Name,Reg_Ebene,0_Insgesamt_,HH_SIZE_NAT__1,HH_SIZE_NAT__2,HH_SIZE_NAT__3,HH_SIZE_NAT__4,HH_SIZE_NAT__5,HH_SIZE_NAT__6,HHTYP_FAM__1,HHTYP_FAM__2,HHTYP_FAM__3,HHTYP_FAM__4,HHTYP_FAM__5,HHTYP_LEB__1,HHTYP_LEB__2,HHTYP_LEB__3,HHTYP_LEB__4,HHTYP_LEB__5,HHTYP_LEB__6,HHTYP_LEB__7,HHTYP_SENIOR_HH__1,HHTYP_SENIOR_HH__2,HHTYP_SENIOR_HH__3,ags
20220515,150835051361,Loitsche-Heinrichsberg,Gemeinde,440,160,152,68,41,13,3,160,134,112,30,9,160,200,–,46,25,8,9,119,50,274,15083361
20220515,150835051440,Rogätz,Gemeinde,1012,343,379,145,104,26,10,343,330,254,73,12,343,469,–,115,51,23,12,304,94,613,15083440
20220515,150835051557,Westheide,Gemeinde,763,221,313,126,76,20,6,221,269,192,68,6,221,379,–,82,54,17,6,191,90,482,15083557
20220515,150835051580,Zielitz,Gemeinde,904,318,367,108,87,22,5,318,336,194,51,8,318,444,–,86,41,9,8,270,76,557,15083580
20220515,150835052020,Altenhausen,Gemeinde,483,147,202,83,41,9,3,147,182,110,37,8,147,245,–,48,29,6,8,138,61,283,15083020
20220515,150835052060,Beendorf,Gemeinde,354,124,125,52,41,9,3,124,107,87,33,4,124,155,–,31,25,10,4,82,31,241,15083060
20220515,150835052115,Bülstringen,Gemeinde,376,101,150,69,46,6,5,101,144,102,22,8,101,210,–,39,20,3,8,96,42,237,15083115
20220515,150835052125,Calvörde,Gemeinde,1519,507,578,255,127,43,9,507,483,354,141,35,507,693,–,142,104,41,35,381,209,927,15083125
20220515,150835052205,Erxleben,Gemeinde,1246,376,512,182,132,28,10,376,415,289,140,30,376,576,–,131,103,31,30,282,163,797,15083205
20220515,150835052230,Flechtingen,Gemeinde,1267,431,465,203,128,24,14,431,383,304,124,23,431,563,–,126,100,24,23,331,159,768,15083230
20220515,150835052323,Ingersleben,Gemeinde,612,222,208,95,64,14,9,222,181,159,39,8,222,275,–,66,35,8,8,168,77,367,15083323
20220515,150835053190,Eilsleben,Gemeinde,1804,714,627,271,157,27,11,714,529,397,138,21,714,755,3,170,112,29,21,542,155,1106,15083190
20220515,150835053275,Harbke,Gemeinde,727,298,258,81,72,14,5,298,222,146,52,9,298,297,–,71,36,11,9,203,45,483,15083275
20220515,150835053320,Hötensleben,Gemeinde,1694,645,634,209,152,33,19,645,547,356,108,37,645,765,–,132,90,19,37,481,164,1054,15083320
20220515,150835053485,Sommersdorf,Gemeinde,640,224,232,113,56,9,5,224,214,156,40,8,224,309,–,60,32,8,8,202,69,377,15083485
20220515,150835053505,Ummendorf,Gemeinde,400,116,135,83,47,11,8,116,124,118,37,7,116,209,–,33,29,9,7,92,51,254,15083505
20220515,150835053515,Völpke,Gemeinde,597,243,209,86,40,7,4,243,177,109,56,13,243,242,–,43,45,12,13,187,53,360,15083515
20220515,150835053535,Wefensleben,Gemeinde,797,275,328,115,57,13,8,275,273,158,76,12,275,370,–,64,60,15,12,243,87,462,15083535
20220515,150835054025,Am Großen Bruch,Gemeinde,956,281,404,159,72,22,16,281,345,230,88,14,281,484,–,95,63,22,14,236,106,614,15083025
20220515,150835054035,Ausleben,Gemeinde,743,257,282,103,67,22,5,257,249,169,64,8,257,336,–,82,47,14,8,187,95,464,15083035
20220515,150835054245,"Gröningen, Stadt",Gemeinde,1596,568,612,238,119,47,15,568,536,342,120,27,568,753,–,125,105,15,27,458,161,973,15083245
20220515,150835054355,"Kroppenstedt, Stadt",Gemeinde,659,234,241,96,53,17,9,234,201,147,58,19,234,285,–,61,42,16,19,156,80,419,15083355
20220515,150840130130,Elsteraue,Gemeinde,3892,1343,1605,550,264,92,39,1343,1439,775,284,52,1343,1863,–,349,242,44,52,1226,419,2244,15084130
20220515,150840235235,"Hohenmölsen, Stadt",Gemeinde,4845,1993,1839,614,290,74,32,1993,1614,821,347,69,1993,2016,–,415,294,52,69,1553,433,2858,15084235
20220515,150840315315,"Lützen, Stadt",Gemeinde,3905,1324,1486,637,345,77,41,1324,1287,899,333,63,1324,1841,–,343,261,74,63,1088,455,2363,15084315
20220515,150840355355,"Naumburg (Saale), Stadt",Gemeinde,16553,7682,5605,1857,986,266,156,7682,4541,2531,1451,350,7682,5765,5,1304,1207,241,350,5265,1290,9997,15084355
