ags,public_precincts,public_valid_zweit,public_cdu_zweit,official_precincts,official_valid_zweit,official_cdu_zweit,valid_diff,cdu_diff,precinct_diff
23306054,2.0,178.0,81.0,2.0,178.0,81.0,0.0,0.0,0.0
23306056,1.0,462.0,201.0,1.0,462.0,201.0,0.0,0.0,0.0
23306058,1.0,155.0,65.0,1.0,155.0,65.0,0.0,0.0,0.0
23306060,1.0,198.0,121.0,1.0,198.0,121.0,0.0,0.0,0.0
23306076,4.0,798.0,412.0,4.0,798.0,412.0,0.0,0.0,0.0
23306080,1.0,406.0,169.0,1.0,406.0,169.0,0.0,0.0,0.0
23306083,1.0,367.0,177.0,1.0,367.0,177.0,0.0,0.0,0.0
23306204,1.0,564.0,315.0,1.0,564.0,315.0,0.0,0.0,0.0
23306209,1.0,271.0,117.0,1.0,271.0,117.0,0.0,0.0,0.0
23306211,1.0,156.0,72.0,1.0,156.0,72.0,0.0,0.0,0.0
23306214,1.0,215.0,83.0,1.0,215.0,83.0,0.0,0.0,0.0
23306219,1.0,100.0,36.0,1.0,100.0,36.0,0.0,0.0,0.0
23306223,1.0,93.0,42.0,1.0,93.0,42.0,0.0,0.0,0.0
23306227,1.0,277.0,112.0,1.0,277.0,112.0,0.0,0.0,0.0
23306229,1.0,259.0,128.0,1.0,259.0,128.0,0.0,0.0,0.0
23306232,1.0,191.0,107.0,1.0,191.0,107.0,0.0,0.0,0.0
23306235,1.0,107.0,36.0,1.0,107.0,36.0,0.0,0.0,0.0
23306237,1.0,91.0,30.0,1.0,91.0,30.0,0.0,0.0,0.0
23306239,1.0,164.0,74.0,1.0,164.0,74.0,0.0,0.0,0.0
23306240,2.0,722.0,333.0,2.0,722.0,333.0,0.0,0.0,0.0
23306241,1.0,383.0,160.0,1.0,383.0,160.0,0.0,0.0,0.0
23501005,1.0,270.0,83.0,1.0,270.0,83.0,0.0,0.0,0.0
23501008,2.0,556.0,172.0,2.0,556.0,172.0,0.0,0.0,0.0
23501014,1.0,348.0,121.0,1.0,348.0,121.0,0.0,0.0,0.0
23501030,1.0,296.0,106.0,1.0,296.0,106.0,0.0,0.0,0.0
23501035,1.0,259.0,98.0,1.0,259.0,98.0,0.0,0.0,0.0
23501036,1.0,688.0,234.0,1.0,688.0,234.0,0.0,0.0,0.0
23501045,6.0,2653.0,882.0,6.0,2653.0,882.0,0.0,0.0,0.0
23501047,1.0,161.0,55.0,1.0,161.0,55.0,0.0,0.0,0.0
23501092,1.0,126.0,51.0,1.0,126.0,51.0,0.0,0.0,0.0
23501093,2.0,448.0,149.0,2.0,448.0,149.0,0.0,0.0,0.0
23501112,1.0,284.0,99.0,1.0,284.0,99.0,0.0,0.0,0.0
23501114,2.0,1330.0,448.0,2.0,1330.0,448.0,0.0,0.0,0.0
23501153,1.0,367.0,86.0,1.0,367.0,86.0,0.0,0.0,0.0
23503055,1.0,368.0,117.0,1.0,368.0,117.0,0.0,0.0,0.0
23503068,13.0,8197.0,2981.0,13.0,8197.0,2981.0,0.0,0.0,0.0
23503095,3.0,946.0,342.0,3.0,946.0,342.0,0.0,0.0,0.0
23503096,1.0,466.0,178.0,1.0,466.0,178.0,0.0,0.0,0.0
23503101,1.0,84.0,31.0,1.0,84.0,31.0,0.0,0.0,0.0
23503106,1.0,677.0,283.0,1.0,677.0,283.0,0.0,0.0,0.0
23503132,2.0,1357.0,494.0,2.0,1357.0,494.0,0.0,0.0,0.0
23503133,1.0,328.0,108.0,1.0,328.0,108.0,0.0,0.0,0.0
23503143,1.0,1097.0,422.0,1.0,1097.0,422.0,0.0,0.0,0.0
23503144,1.0,322.0,122.0,1.0,322.0,122.0,0.0,0.0,0.0
23503146,1.0,249.0,104.0,1.0,249.0,104.0,0.0,0.0,0.0
