capture,time,commit,party,votes,share
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,DKP,457,0.12274882153073421
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,ÖDP,499,0.1340298948442809
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,Die Heimat,156,0.04190112945031627
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,bergpartei,12,0.0032231638038704826
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,SGP,127,0.03411181692429594
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,Menschliche Welt,0,0.0
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,AB Spandau,0,0.0
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,Ausländer für Berlin,0,0.0
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,Migrants for Neukölln,0,0.0
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,Berliner:innen ohne Grenzen,0,0.0
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,Berlin Retten,0,0.0
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,BSW,19254,5.17156632331019
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,Losdemokratie,0,0.0
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,MERA25,0,0.0
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,PdF,1124,0.30190300962920186
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,Jan Mihm: Bester Mann,0,0.0
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,Demokratische Linke,0,0.0
2026-09-20-19-48-34,2026-09-20T17:48:37.481698+00:00,87f70d1a68382d187b3d230149d72a2fad15f879,DIE FRAUEN,0,0.0
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,CDU,70609,17.318649513741555
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,SPD,45823,11.239253872285108
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,GRÜNE,53657,13.160741222207234
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,Die Linke,106903,26.220674262027693
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,AfD,78426,19.235967182153765
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,FDP,9216,2.260457929139942
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,Tierschutzpartei,8265,2.0272010399676237
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,Die PARTEI,3065,0.7517690486994273
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,Volt,7796,1.9121668853705498
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,FREIE WÄHLER,0,0.0
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,Mieterpartei,0,0.0
2026-09-20-19-51-31,2026-09-20T17:51:33.755567+00:00,78cce21ad69d3f32310a23234e6584a5b8406c14,Die Urbane.,316,0.07750702100783655
