party,omitted_block,feature,log_odds_per_full_sd
Tierschutzpartei,13076,age67_share,0.002391581732338121
Tierschutzpartei,13076,owner_occupancy_share,-0.0876346722596267
Tierschutzpartei,13076,foreign_citizenship_share,-0.042968828680656185
FDP,13003,log_population,0.03799951016896005
FDP,13003,age19_24_share,0.1735387070665538
FDP,13003,age67_share,0.0291815973271272
FDP,13003,owner_occupancy_share,0.19997814874382389
FDP,13003,foreign_citizenship_share,0.007974590507113702
FDP,13004,log_population,0.03640027774628138
FDP,13004,age19_24_share,0.1744651183796567
FDP,13004,age67_share,0.029329899546888166
FDP,13004,owner_occupancy_share,0.20012289398274935
FDP,13004,foreign_citizenship_share,0.007601761304648366
FDP,13071,log_population,0.023306774187665285
FDP,13071,age19_24_share,0.15482732750629416
FDP,13071,age67_share,0.03536472856845642
FDP,13071,owner_occupancy_share,0.15812363210098418
FDP,13071,foreign_citizenship_share,-0.02820138435144949
FDP,13072,log_population,0.04404064984905588
FDP,13072,age19_24_share,0.20496902898594085
FDP,13072,age67_share,0.04472498034874958
FDP,13072,owner_occupancy_share,0.22403475758065503
FDP,13072,foreign_citizenship_share,0.0068052701689195185
FDP,13073,log_population,0.05413394014023938
FDP,13073,age19_24_share,0.17862572148314007
FDP,13073,age67_share,0.025231587752992994
FDP,13073,owner_occupancy_share,0.22213323221017856
FDP,13073,foreign_citizenship_share,0.003658512627378616
FDP,13074,log_population,0.038085463721237715
FDP,13074,age19_24_share,0.17563039747257775
FDP,13074,age67_share,0.03521571069501274
FDP,13074,owner_occupancy_share,0.20156841693029803
FDP,13074,foreign_citizenship_share,0.00770945609411687
FDP,13075,log_population,0.09696603493735698
FDP,13075,age19_24_share,0.022830862077870884
FDP,13075,age67_share,0.005926311113269319
FDP,13075,owner_occupancy_share,0.1428984043088341
FDP,13075,foreign_citizenship_share,0.05474439517228391
FDP,13076,log_population,0.01819272672188963
FDP,13076,age19_24_share,0.18969649278141815
FDP,13076,age67_share,0.021555110544910303
FDP,13076,owner_occupancy_share,0.22247466481393544
FDP,13076,foreign_citizenship_share,0.029861370297437174
