row_key,ags,municipality_name,gebietsart,gebietsnummer,reported_precincts,total_precincts,voters_total,valid_votes_erst,valid_votes_zweit,voters_total_2021,valid_votes_erst_2021,valid_votes_zweit_2021,delta_voters_total_vs_2021,delta_valid_votes_erst_vs_2021,delta_valid_votes_zweit_vs_2021,payload_hash,is_municipality_summary
000086:13101072:-:13101072:GEMEINDE,13101072,Rodder,GEMEINDE,13101072,1,1,162,158,160,157,,153,5,,7,9df9cdefa01c76bbbfb1849e6d30a8b29a5823d174fdfaec0256ec6986e41d82,True
000087:13101074:-:13101074:GEMEINDE,13101074,Schuld,GEMEINDE,13101074,1,1,379,375,375,366,,360,13,,15,0cc7f9f95b578f0a9a95c437973c1cfd3440adfb460ce1f36d3de4ea7a65aecb,True
000088:13101075:-:13101075:GEMEINDE,13101075,Senscheid,GEMEINDE,13101075,1,1,45,43,45,52,,52,-7,,-7,9287469186cb11ef57ffa7d4a0d427d54c4ef6e8e6672d8851173119dd2438bc,True
000089:13101076:-:13101076:GEMEINDE,13101076,Sierscheid,GEMEINDE,13101076,1,1,49,48,49,59,,59,-10,,-10,ca8823059fcc1277170225430698c3f85196c5e49bb55ec613f22ac2b546a454,True
000090:13101079:-:13101079:GEMEINDE,13101079,Trierscheid,GEMEINDE,13101079,1,1,45,44,44,44,,43,1,,1,581279b7329fe5432fd8b6146e27fecee1340b16c8a2d8e0183ced82f7c029e5,True
000091:13101082:-:13101082:GEMEINDE,13101082,Wershofen,GEMEINDE,13101082,1,1,508,498,501,478,,475,30,,26,966ffda4cc0402da6b0687d9f0fd669e45f90d4fe9d5310a0600957abf423ba8,True
000092:13101083:-:13101083:GEMEINDE,13101083,Wiesemscheid,GEMEINDE,13101083,1,1,146,146,146,147,,145,-1,,1,afacef11cc490b58486fea164b24f30d29f780ada531f54fa2413f98859237a3,True
000093:13101084:-:13101084:GEMEINDE,13101084,Wimbach,GEMEINDE,13101084,1,1,260,255,256,272,,265,-12,,-9,63061787e31c53c4ab4b196b5e46c32b7c3cb6442ad4b017226a957df2f39947,True
000094:13101085:-:13101085:GEMEINDE,13101085,Winnerath,GEMEINDE,13101085,1,1,118,116,118,110,,104,8,,14,ebb2bf746e0267fecddd37e57c7659b441309f08f5529fd2acf1905de462ca30,True
000095:13101086:-:13101086:GEMEINDE,13101086,Wirft,GEMEINDE,13101086,1,1,87,85,86,84,,83,3,,3,4f56ee8d65d030cf2ba5a8b80c3ae152fb2cf54368d432e2dd8942b4fcebd204,True
000096:13101501:-:13101501:GEMEINDE,13101501,Dümpelfeld,GEMEINDE,13101501,1,1,300,296,294,305,,302,-5,,-8,9dd3e68838486b75beaa98ea7effa43da25c8a1f864ae33a05b532c54554ae5b,True
000097:13102002:-:13102002:GEMEINDE,13102002,Ahrbrück,GEMEINDE,13102002,1,1,608,597,602,593,,579,15,,23,482b408a018ae9009d9b5cd801501fc5c8e1fac552baa84f908eef0a14226790,True
000098:13102003:-:13102003:GEMEINDE,13102003,Altenahr,GEMEINDE,13102003,1,1,866,848,853,946,,931,-80,,-78,ca36bfc9fa90b1161a4d8c45cdbb4d4783066a6593e7ac4bc4fa12e9364d0a95,True
000099:13102011:-:13102011:GEMEINDE,13102011,Berg,GEMEINDE,13102011,3,3,742,737,739,684,,678,58,,61,b62572b633c2259a2f2d10ab6822492dcf78a0bdc78e0125013c081acd00911b,True
000100:13102017:-:13102017:GEMEINDE,13102017,Dernau,GEMEINDE,13102017,1,1,974,964,970,1080,,1070,-106,,-100,079f70a492634f553430e09d4236fd7e80666a62dbe917e8f4068995a615def3,True
000101:13102027:-:13102027:GEMEINDE,13102027,Heckenbach,GEMEINDE,13102027,1,1,154,153,154,121,,120,33,,34,2ffefab5b4aefc275fc7d6b5301ab109bd5ebebf62a6df47c906f857aa2de243,True
